M0,t9201,T3587,r5019,o29
M1,t9301,T3547,r5014,o29
M2,t9401,T3551,r5014,o0
M2,t9501,T3548,r5017,o0
M2,t9601,T3561,r5019,o0
M2,t9701,T3634,r5017,o0
M2,t9801,T3605,r5024,o0
M3,t9901,T3588,r5019,o0
M3,t10001,T3558,r5009,o0
M4,t10101,T3589,r5019,o0
M4,t10201,T3568,r5021,o0
M4,t10301,T3569,r5019,o0
M0,t10401,T3564,r5017,o29
M0,t10501,T3534,r5019,o30
M0,t10601,T3526,r5017,o30
M0,t10701,T3567,r5019,o30
M1,t10801,T3602,r5014,o29
M1,t10901,T3554,r5021,o30
M1,t11001,T3587,r5019,o30
M1,t11101,T3523,r5019,o31
M1,t11201,T3512,r5024,o32
M1,t11301,T3537,r5017,o31
M1,t11401,T3595,r5017,o30
M1,t11501,T3599,r5019,o30
M1,t11601,T3610,r5021,o30
M1,t11701,T3620,r5019,o30
M1,t11801,T3633,r5021,o30
M1,t11901,T3629,r5017,o30
M1,t12001,T3593,r5017,o31
M1,t12101,T3603,r5019,o31
M1,t12201,T3636,r5019,o31
M1,t12301,T3693,r5021,o30
M1,t12401,T3653,r5017,o30
M1,t12501,T3579,r5021,o32
M1,t12601,T4119,r5017,o21
M1,t12701,T4031,r5014,o23
M1,t12801,T3933,r5014,o25
M1,t12901,T3570,r5019,o33
M1,t13001,T3386,r5017,o37
M1,t13101,T3752,r5017,o29
M1,t13201,T3512,r5017,o34
M1,t13301,T3576,r5021,o33
M1,t13401,T3814,r5021,o29
M1,t13501,T3904,r5017,o27
M1,t13601,T3544,r5014,o34
M1,t13701,T3375,r5017,o38
M1,t13801,T3269,r5019,o40
M1,t13901,T3382,r5019,o38
M1,t14001,T3398,r5019,o38
M1,t14101,T3452,r5019,o37
M1,t14201,T3542,r5014,o35
M1,t14301,T3558,r5017,o35
M1,t14401,T3570,r5017,o35
M1,t14501,T3584,r5017,o35
M1,t14601,T3600,r5017,o35
M1,t14701,T3606,r5019,o35
M1,t14801,T3594,r5014,o35
M1,t14901,T3560,r5019,o36
M1,t15001,T3570,r5014,o36
M1,t15101,T3551,r5017,o36
M1,t15201,T3572,r5017,o36
M1,t15301,T3604,r5019,o36
M1,t15401,T3608,r5019,o36
M1,t15501,T3590,r5014,o36
M1,t15601,T3577,r5017,o36
M1,t15701,T3597,r5019,o36
M1,t15801,T3571,r5017,o37
M1,t15901,T3560,r5019,o37
M1,t16001,T3546,r5017,o38
M1,t16101,T3623,r5017,o36
M1,t16201,T3625,r5019,o36
M1,t16301,T3601,r5019,o37
M1,t16401,T3577,r5019,o38
M1,t16501,T3539,r5021,o39
M1,t16601,T3586,r5019,o38
M1,t16701,T3571,r5021,o38
M1,t16801,T3585,r5019,o38
M1,t16901,T3576,r5019,o38
M1,t17001,T3582,r5017,o38
M1,t17101,T3550,r5019,o39
M1,t17201,T3538,r5017,o40
M1,t17301,T3552,r5019,o39
M1,t17401,T3567,r5019,o39
M1,t17501,T3588,r5017,o39
M1,t17601,T3577,r5021,o39
M1,t17701,T3572,r5017,o40
M1,t17801,T3585,r5019,o40
M1,t17901,T3566,r5019,o40
M1,t18001,T3534,r5019,o41
M1,t18101,T3599,r5021,o40
M1,t18201,T3509,r5026,o42
M1,t18301,T3545,r5017,o41
M1,t18401,T3598,r5019,o40
M1,t18501,T3596,r5019,o40
M1,t18601,T3575,r5017,o41
M1,t18701,T3591,r5019,o41
M1,t18801,T3559,r5014,o41
M1,t18901,T3522,r5017,o42
M1,t19001,T3575,r5017,o41
M1,t19101,T3591,r5017,o41
M1,t19201,T3578,r5014,o42
M1,t19301,T3597,r5019,o41
M1,t19401,T3551,r5019,o43
M1,t19501,T3582,r5017,o42
M1,t19601,T3589,r5019,o42
M1,t19701,T3587,r5017,o42
M1,t19801,T3591,r5017,o42
M1,t19901,T3554,r5017,o43
M1,t20001,T3587,r5017,o43
M1,t20101,T3630,r5017,o42
M1,t20201,T3536,r5014,o44
M1,t20301,T3561,r5014,o44
M1,t20401,T3551,r5017,o44
M1,t20501,T3577,r5014,o44
M1,t20601,T3572,r5017,o44
M1,t20701,T3542,r5017,o45
M1,t20801,T3558,r5017,o44
M1,t20901,T3584,r5019,o44
M1,t21001,T3600,r5017,o44
M1,t21101,T3591,r5021,o44
M1,t21201,T3593,r5019,o44
M1,t21301,T3584,r5021,o45
M1,t21401,T3532,r5019,o46
M1,t21501,T3535,r5017,o46
M1,t21601,T3541,r5017,o46
M1,t21701,T3544,r5019,o46
M1,t21801,T3574,r5014,o45
M1,t21901,T3499,r5017,o47
M1,t22001,T3575,r5019,o46
M1,t22101,T3562,r5014,o46
M1,t22201,T3591,r5017,o46
M1,t22301,T3573,r5019,o46
M1,t22401,T3605,r5017,o46
M1,t22501,T3598,r5019,o46
